pdbid,ligand_id,ligand_resnum,rna_chain,ligand_chain
5obm,LLL,4177,5,DRB
5obm,LLL,2170,6,GIC
5obm,LLL,2171,6,HIC
5obm,LLL,2172,6,IIC
5on6,HN8,4223,1,UKA
5on6,HN8,4263,AR,IIC
5tcu,PAR,1601,A,AB
5uyl,FME,101,W,IB
5uym,FME,101,W,BQ
5uyp,FME,101,W,IB
5uyq,FME,101,W,IB
5v7q,917,5001,A,FA
5v8i,ARG,1001,1B,RLA
5vp2,M2D,4118,1A,HUA
5vp2,M2D,3864,2A,XTC
5wdt,FME,3001,A,HB
5we4,FME,101,v,BLB
5we6,FME,3001,A,HB
5wf0,FME,3001,A,HB
5wfk,FME,3001,A,HB
5wfs,FME,3001,A,HB
5wis,MT9,4113,1A,CUA
5wnt,B6M,1858,A,UJ
5wnu,B6M,1858,A,UJ
5wnv,B6M,1856,A,SJ
6az1,PAR,2302,1,QA
6az1,PAR,2306,1,UA
6az3,PAR,1805,1,CB
6cao,PAR,1603,A,Z
6cao,PAR,1606,A,CA
6cap,SIS,1792,A,GH
6caq,EUS,1809,A,XH
6car,SIS,1809,A,XH
6cas,EUS,1814,A,CI
6cfj,EZG,4030,1A,XQA
6cfj,EZG,3746,2A,TLC
6cfk,ARG,228,1B,QRA
6cfk,EZP,3987,1A,APA
6cfk,EZP,3709,2A,PHC
6cfl,ARG,232,1B,PTA
6cfl,EZM,4035,1A,WQA
6cfl,EZM,3691,2A,XIC
6czr,ARG,223,1B,EKA
6ddd,G6V,3001,1,BA
6ddg,G6M,3001,1,BA
6dti,PAR,1601,A,X
6gaw,SPM,3001,AA,JL
6gaz,SPM,3001,AA,OA
6i7v,1PE,3065,DA,SJ
6i7v,PG4,1607,BA,OF
6mkn,PAR,1601,A,X
6mpf,PAR,1601,A,X
6mpi,PAR,1693,A,LD
6nd5,CLM,4102,1A,RTA
6nd5,CLM,3888,2A,KUC
6o97,LUJ,4100,1A,PTA
6o97,LUJ,3852,2A,RSC
6of6,PAR,1711,QA,OH
6of6,PAR,1717,XA,YCA
6ofx,FME,101,5,CB
6oj2,PAR,1667,QA,WF
6oj2,PAR,1679,XA,BX
6om6,KKL,3301,1,CB
6ord,PAR,1794,XA,VYA
6pc6,O7S,3001,I,H
6pc7,O7V,3001,I,H
6pc8,O7Y,3001,I,H
6pch,O8D,3001,I,H
6pcq,O8J,3001,I,H
6pcr,O8P,3001,I,H
6pcs,O8S,3001,I,H
6pct,O8V,3001,I,H
6qul,JJH,3370,A,MO
6qzp,HMT,5374,L5,QM
6qzp,HYG,2039,S2,CT
6rw4,SPM,1702,A,HA
6rw5,SPM,1702,A,IA
6s0x,ERY,3001,A,AB
6v39,FME,3001,AN1,CB
6wqn,ZC0,3001,1,BA
6wqq,RD8,3001,1,BA
6wrs,U7V,3001,1,BA
6wru,U7Y,3001,1,CA
6xhx,ARG,233,1B,QRA
6xqd,V7A,1835,1a,JJB
6xqd,V7A,3210,2a,RCD
6xqe,V7A,3213,1a,PGB
6xqe,V7A,1817,2a,GAD
6y69,OCW,3001,A,CB
6y6x,OCW,5315,L5,AJ
6ydp,SPM,16801,AA,VC
6ydw,SPM,16801,AA,YC
6ypu,AKN,1607,4,WB
7b5k,SY5,1714,a,YO
7b5k,SY5,1715,a,ZO
7dug,HJR,1601,A,X
7duh,HJO,1601,A,X
7dui,HKO,1601,A,X
7duj,SIS,1833,A,VI
7duk,SIS,1835,A,XI
7dul,SIS,1835,A,XI
7k00,PAR,1601,A,EB
7k00,SPM,6223,a,KN
7lh5,EDS,1805,AA,KL
7lh5,EDS,1787,CA,LNA
7m4u,YQM,1601,a,V
7m4w,YQM,1601,a,LG
7m4x,YQM,1601,a,MG
7m4y,YQM,1601,a,PG
7md7,ARG,228,1B,TSA
7n1p,ATP,3003,23,XF
7n2c,ATP,3002,23,DD
7n2u,ATP,3002,23,TE
7n2v,ATP,3003,23,DE
7n30,ATP,3002,23,HE
7n31,ATP,3002,23,KD
7nqh,SPM,3001,AA,GD
7nql,SPM,3001,AA,NL
7nsi,SPM,3001,AA,ED
7nsj,SPM,3001,AA,FD
7o7y,SPM,1909,A2,QC
7o7z,SPM,1909,A2,QC
7oiz,PAR,1601,A,DB
7ood,CLM,3026,3,EB
7otc,ATP,3001,A,KD
7p2e,SPM,1702,A,HA
7p3k,CLM,6206,a,OM
7phb,CLM,3001,3,EB
7pjs,AM2,1684,a,YO
7pjs,AM2,1685,a,ZO
7pjs,AM2,1689,a,DP
7pjv,AM2,1657,a,HO
7pjy,AM2,1628,a,IN
7pjy,AM2,1636,a,QN
7q0p,ANM,3403,1,EC
7q0r,BLS,3403,1,EC
7qi4,SPM,1702,AA,RC
7qi5,SPM,1702,AA,RC
7qi6,SPM,1702,AA,QC
7rqa,ARG,231,1B,BSA
