"ID","NAKB NA","NAKB Protein","NAKB Ligand"
"1A3M","double helix, ribosomal RNA","",""
"1A51","double helix, ribosomal RNA","",""
"1BGZ","ribosomal RNA","",""
"1BYJ","ribosomal RNA","",""
"1C04","ribosomal RNA","ribosome",""
"1C2W","ribosomal RNA","ribosome",""
"1C2X","ribosomal RNA","ribosome",""
"1CSL","A-form double helix, ribosomal RNA","",""
"1D6K","A-form double helix, ribosomal RNA","ribosome",""
"1DFU","ribosomal RNA","ribosome",""
"1DK1","ribosomal RNA","ribosome",""
"1DUH","ribosomal RNA","",""
"1EG0","ribosomal RNA, transfer RNA","ribosome",""
"1ELH","A-form double helix, ribosomal RNA","",""
"1EMI","ribosomal RNA","ribosome",""
"1F7Y","ribosomal RNA","ribosome",""
"1FEU","ribosomal RNA","ribosome",""
"1FFK","ribosomal RNA","ribosome",""
"1FG0","ribosomal RNA","ribosome",""
"1FJG","ribosomal RNA","ribosome",""
"1FKA","ribosomal RNA","ribosome",""
"1FYO","ribosomal RNA","",""
"1FYP","A-form double helix, ribosomal RNA","",""
"1G1X","ribosomal RNA","ribosome",""
"1HC8","ribosomal RNA","ribosome",""
"1HNW","ribosomal RNA","ribosome",""
"1HNX","ribosomal RNA","ribosome",""
"1HNZ","ribosomal RNA","ribosome",""
"1HR0","ribosomal RNA","ribosome, translation",""
"1I6U","ribosomal RNA","ribosome",""
"1I94","ribosomal RNA","ribosome",""
"1I95","ribosomal RNA","ribosome",""
"1I96","ribosomal RNA","ribosome, translation",""
"1I97","ribosomal RNA","ribosome",""
"1IBK","ribosomal RNA","ribosome",""
"1IBL","ribosomal RNA, transfer RNA","ribosome",""
"1IBM","ribosomal RNA, transfer RNA","ribosome",""
"1J5A","ribosomal RNA","ribosome",""
"1J5E","ribosomal RNA","ribosome",""
"1J7T","ribosomal RNA","",""
"1JBR","ribosomal RNA","nuclease",""
"1JBS","ribosomal RNA","nuclease",""
"1JBT","ribosomal RNA","nuclease",""
"1JGO","ribosomal RNA, transfer RNA","ribosome",""
"1JGP","ribosomal RNA, transfer RNA","ribosome",""
"1JGQ","ribosomal RNA, transfer RNA","ribosome",""
"1JJ2","ribosomal RNA","ribosome",""
"1JUR","ribosomal RNA","",""
"1JZX","ribosomal RNA","ribosome",""
"1JZY","ribosomal RNA","ribosome",""
"1JZZ","ribosomal RNA","ribosome",""
"1K01","ribosomal RNA","ribosome",""
"1K73","ribosomal RNA","ribosome",""
"1K8A","ribosomal RNA","ribosome",""
"1K9M","ribosomal RNA","ribosome",""
"1KC8","ribosomal RNA","ribosome",""
"1KD1","ribosomal RNA","ribosome",""
"1KQS","ribosomal RNA","ribosome",""
"1KUQ","ribosomal RNA","ribosome",""
"1LC4","ribosomal RNA","",""
"1M1K","ribosomal RNA","ribosome",""
"1M90","ribosomal RNA","ribosome",""
"1MJ1","ribosomal RNA, transfer RNA","ribosome, translation",""
"1MJI","ribosomal RNA","ribosome",""
"1ML5","ribosomal RNA, transfer RNA","ribosome, translation",""
"1MMS","ribosomal RNA","ribosome",""
"1MNX","A-form double helix, ribosomal RNA","",""
"1MSY","ribosomal RNA","",""
"1MT4","double helix, ribosomal RNA","",""
"1MVR","ribosomal RNA","ribosome",""
"1MWL","ribosomal RNA","",""
"1MZP","ribosomal RNA","ribosome",""
"1N32","ribosomal RNA, transfer RNA","ribosome",""
"1N33","ribosomal RNA, transfer RNA","ribosome",""
"1N34","ribosomal RNA","ribosome",""
"1N36","ribosomal RNA","ribosome",""
"1N8R","ribosomal RNA","ribosome",""
"1NJI","ribosomal RNA","ribosome",""
"1NJM","ribosomal RNA, transfer RNA","ribosome",""
"1NJN","ribosomal RNA","ribosome",""
"1NJO","ribosomal RNA","ribosome",""
"1NJP","ribosomal RNA, transfer RNA","ribosome",""
"1NKW","ribosomal RNA","ribosome",""
"1NWX","ribosomal RNA","ribosome",""
"1NWY","ribosomal RNA","ribosome",""
"1O9M","ribosomal RNA","",""
"1OLN","ribosomal RNA","ribosome",""
"1OND","ribosomal RNA","ribosome",""
"1P9X","ribosomal RNA","ribosome",""
"1PBR","ribosomal RNA","",""
"1Q81","ribosomal RNA","ribosome",""
"1Q82","ribosomal RNA","ribosome",""
"1Q86","ribosomal RNA","ribosome",""
"1Q93","ribosomal RNA","",""
"1Q96","ribosomal RNA","",""
"1Q9A","ribosomal RNA","",""
"1QA6","ribosomal RNA","ribosome",""
"1QVF","ribosomal RNA, transfer RNA","ribosome",""
"1QVG","ribosomal RNA","ribosome",""
"1QWA","ribosomal RNA","",""
"1QZC","ribosomal RNA","ribosome",""
"1R2W","ribosomal RNA","ribosome",""
"1R2X","ribosomal RNA","ribosome",""
"1RKJ","ribosomal RNA","regulatory",""
"1S72","ribosomal RNA","ribosome",""
"1SCL","double helix, ribosomal RNA","",""
"1SM1","ribosomal RNA","ribosome",""
"1T0D","A-form double helix, ribosomal RNA","",""
"1T1M","ribosomal RNA","translation",""
"1T1O","ribosomal RNA","ribosome",""
"1TRJ","ribosomal RNA","ribosome",""
"1UN6","ribosomal RNA","Zinc finger C2H2",""
"1UUU","ribosomal RNA","",""
"1VOP","ribosomal RNA","",""
"1VQ4","ribosomal RNA","ribosome",""
"1VQ5","ribosomal RNA","ribosome",""
"1VQ6","ribosomal RNA","ribosome",""
"1VQ7","ribosomal RNA","ribosome",""
"1VQ8","ribosomal RNA","ribosome",""
"1VQ9","ribosomal RNA","ribosome",""
"1VQK","ribosomal RNA","ribosome",""
"1VQL","ribosomal RNA","ribosome",""
"1VQM","ribosomal RNA","ribosome",""
"1VQN","ribosomal RNA","ribosome",""
"1VQO","ribosomal RNA","ribosome",""
"1VQP","ribosomal RNA","ribosome",""
"1VVJ","ribosomal RNA, transfer RNA","ribosome",""
"1VY4","ribosomal RNA, transfer RNA","ribosome",""
"1VY5","ribosomal RNA, transfer RNA","ribosome",""
"1VY6","ribosomal RNA, transfer RNA","ribosome",""
"1VY7","ribosomal RNA, transfer RNA","ribosome",""
"1W2B","ribosomal RNA","isomerase, ribosome",""
"1X1L","ribosomal RNA","nuclease",""
"1XBP","ribosomal RNA","ribosome",""
"1XMO","ribosomal RNA, transfer RNA","ribosome",""
"1XMQ","ribosomal RNA, transfer RNA","ribosome",""
"1XNQ","ribosomal RNA, transfer RNA","ribosome",""
"1XNR","ribosomal RNA, transfer RNA","ribosome",""
"1Y39","ribosomal RNA","ribosome",""
"1Y69","ribosomal RNA","ribosome, translation",""
"1YHQ","ribosomal RNA","ribosome",""
"1YI2","ribosomal RNA","ribosome",""
"1YIJ","ribosomal RNA","ribosome",""
"1YIT","ribosomal RNA","ribosome",""
"1YJ9","ribosomal RNA","ribosome",""
"1YJN","ribosomal RNA","ribosome",""
"1YJW","ribosomal RNA","ribosome",""
"1YRJ","ribosomal RNA","",""
"1YSH","ribosomal RNA","ribosome",""
"1Z58","ribosomal RNA","ribosome",""
"1ZC8","ribosomal RNA","translation",""
"1ZIG","double helix, ribosomal RNA","",""
"1ZN0","ribosomal RNA","translation",""
"1ZN1","ribosomal RNA","ribosome, translation",""
"1ZZ5","A-form double helix, ribosomal RNA","",""
"2A04","A-form double helix, ribosomal RNA","",""
"2AAR","ribosomal RNA","isomerase, ribosome",""
"2ASB","ribosomal RNA","RNA-binding transcription factor",""
"2ATW","ribosomal RNA","RNA-binding transcription factor",""
"2BE0","ribosomal RNA","",""
"2BEE","ribosomal RNA","",""
"2BH2","ribosomal RNA","methylase",""
"2D3O","ribosomal RNA","isomerase, ribosome",""
"2E5L","ribosomal RNA","ribosome",""
"2ESI","ribosomal RNA","",""
"2ESJ","ribosomal RNA","",""
"2ET3","A-form double helix, ribosomal RNA","",""
"2ET4","ribosomal RNA","",""
"2ET5","ribosomal RNA","","bulge binding, major groove binding"
"2ET8","ribosomal RNA","",""
"2F4S","ribosomal RNA","",""
"2F4T","ribosomal RNA","",""
"2F4U","ribosomal RNA","",""
"2F4V","ribosomal RNA","ribosome",""
"2FQN","A-form double helix, ribosomal RNA","",""
"2FTC","ribosomal RNA","ribosome",""
"2G5K","ribosomal RNA","",""
"2GO5","ribosomal RNA, SRP RNA","ribosome, signal recognition particle (SRP)",""
"2HEM","ribosomal RNA","",""
"2HHH","ribosomal RNA","ribosome",""
"2IY3","ribosomal RNA","signal recognition particle (SRP)",""
"2J28","ribosomal RNA","ribosome, signal recognition particle (SRP)",""
"2J37","ribosomal RNA, SRP RNA","ribosome, signal recognition particle (SRP)",""
"2JQ7","ribosomal RNA","ribosome",""
"2JSE","ribosomal RNA","",""
"2LDT","ribosomal RNA","",""
"2M4Q","ribosomal RNA","",""
"2MEQ","ribosomal RNA","",""
"2MER","A-form double helix, ribosomal RNA","",""
"2N0R","ribosomal RNA","",""
"2NOQ","ribosomal RNA, IRES element","ribosome",""
"2O3V","ribosomal RNA","",""
"2O3W","A-form double helix, ribosomal RNA","",""
"2O3X","ribosomal RNA","",""
"2O3Y","A-form double helix, ribosomal RNA","",""
"2O43","ribosomal RNA","ribosome",""
"2O44","ribosomal RNA","ribosome",""
"2O45","ribosomal RNA","ribosome",""
"2OB7","ribosomal RNA, transfer-messenger (tmRNA)","translation",""
"2OE6","A-form double helix, ribosomal RNA","",""
"2OE8","A-form double helix, ribosomal RNA","",""
"2OGM","ribosomal RNA","ribosome",""
"2OGN","ribosomal RNA","ribosome",""
"2OGO","ribosomal RNA","ribosome",""
"2OM7","ribosomal RNA, transfer RNA","ribosome, translation",""
"2OTJ","ribosomal RNA","ribosome",""
"2OTL","ribosomal RNA","ribosome",""
"2P89","ribosomal RNA, small nucleolar RNA (snoRNA)","",""
"2PCW","ribosomal RNA, small nucleolar RNA (snoRNA)","",""
"2PWT","ribosomal RNA","",""
"2QA4","ribosomal RNA","ribosome",""
"2QEX","ribosomal RNA","ribosome",""
"2R1G","ribosomal RNA","ribosome",""
"2RDO","ribosomal RNA","ribosome, translation",""
"2UU9","ribosomal RNA","ribosome",""
"2UUA","ribosomal RNA","ribosome",""
"2UUB","ribosomal RNA","ribosome",""
"2UUC","ribosomal RNA","ribosome",""
"2UXB","ribosomal RNA, transfer RNA","ribosome",""
"2UXC","ribosomal RNA, transfer RNA","ribosome",""
"2UXD","ribosomal RNA, transfer RNA","ribosome",""
"2VQE","ribosomal RNA","ribosome",""
"2VQF","ribosomal RNA","ribosome",""
"2WW9","ribosomal RNA","ribosome, SEC channel",""
"2WWA","ribosomal RNA","ribosome, SEC channel",""
"2WWB","ribosomal RNA","ribosome, SEC channel",""
"2X7N","ribosomal RNA","ribosome, translation",""
"2XKV","ribosomal RNA","signal recognition particle (SRP)",""
"2XXA","ribosomal RNA","signal recognition particle (SRP)",""
"2YKR","ribosomal RNA","hydrolase, ribosome",""
"2ZJP","ribosomal RNA","ribosome",""
"2ZJQ","ribosomal RNA","ribosome",""
"2ZJR","ribosomal RNA","ribosome",""
"2ZM6","ribosomal RNA","ribosome",""
"357D","ribosomal RNA","",""
"361D","ribosomal RNA","",""
"364D","ribosomal RNA","",""
"3BBX","ribosomal RNA","ribosome",""
"3BNL","A-form double helix, ribosomal RNA","",""
"3BNN","ribosomal RNA","",""
"3BNO","ribosomal RNA","",""
"3BNP","ribosomal RNA","",""
"3BNQ","ribosomal RNA","",""
"3BNR","ribosomal RNA","",""
"3BNS","ribosomal RNA","",""
"3BNT","A-form double helix, ribosomal RNA","",""
"3BO0","ribosomal RNA","SEC channel",""
"3BO1","ribosomal RNA","SEC channel",""
"3CC2","ribosomal RNA","ribosome",""
"3CC4","ribosomal RNA","ribosome",""
"3CC7","ribosomal RNA","ribosome",""
"3CCE","ribosomal RNA","ribosome",""
"3CCJ","ribosomal RNA","ribosome",""
"3CCL","ribosomal RNA","ribosome",""
"3CCM","ribosomal RNA","ribosome",""
"3CCQ","ribosomal RNA","ribosome",""
"3CCR","ribosomal RNA","ribosome",""
"3CCS","ribosomal RNA","ribosome",""
"3CCU","ribosomal RNA","ribosome",""
"3CCV","ribosomal RNA","ribosome",""
"3CD6","ribosomal RNA","ribosome",""
"3CF5","ribosomal RNA","ribosome",""
"3CMA","ribosomal RNA","ribosome",""
"3CME","ribosomal RNA","ribosome",""
"3CPW","ribosomal RNA","ribosome",""
"3CXC","ribosomal RNA","ribosome",""
"3DEG","ribosomal RNA, transfer RNA","ribosome, translation",""
"3DG0","ribosomal RNA","ribosome",""
"3DG2","ribosomal RNA","ribosome",""
"3DG4","ribosomal RNA","ribosome",""
"3DG5","ribosomal RNA","ribosome",""
"3DH3","ribosomal RNA","isomerase",""
"3DLL","ribosomal RNA","ribosome",""
"3DVZ","ribosomal RNA","",""
"3DW4","ribosomal RNA","",""
"3DW5","ribosomal RNA","",""
"3DW6","ribosomal RNA","",""
"3DW7","ribosomal RNA","",""
"3EP2","ribosomal RNA, transfer RNA","ribosome, translation",""
"3EQ3","ribosomal RNA, transfer RNA","ribosome, translation",""
"3EQ4","ribosomal RNA, transfer RNA","ribosome, translation",""
"3FWO","ribosomal RNA","ribosome",""
"3G4S","ribosomal RNA","ribosome",""
"3G6E","ribosomal RNA","ribosome",""
"3G71","ribosomal RNA","ribosome",""
"3I56","ribosomal RNA","ribosome",""
"3ID5","ribosomal RNA","methylase, ribosome, splicing",""
"3IY8","ribosomal RNA","ribosome",""
"3IY9","ribosomal RNA","ribosome",""
"3IZD","ribosomal RNA","ribosome",""
"3IZZ","ribosomal RNA","ribosome",""
"3J0D","ribosomal RNA","ribosome, translation",""
"3J0E","ribosomal RNA","ribosome, translation",""
"3J0L","ribosomal RNA, transfer RNA","ribosome",""
"3J0O","ribosomal RNA, transfer RNA","ribosome",""
"3J0P","ribosomal RNA, transfer RNA","ribosome",""
"3J0Q","ribosomal RNA, transfer RNA","ribosome",""
"3J16","ribosomal RNA, transfer RNA","nuclease, ribosome, translation",""
"3J28","ribosomal RNA","ribosome",""
"3J29","ribosomal RNA","ribosome",""
"3J2A","ribosomal RNA","ribosome",""
"3J2B","ribosomal RNA","ribosome",""
"3J2C","ribosomal RNA","ribosome",""
"3J2D","ribosomal RNA","ribosome",""
"3J2E","ribosomal RNA","ribosome",""
"3J2F","ribosomal RNA","ribosome",""
"3J2G","ribosomal RNA","ribosome",""
"3J2H","ribosomal RNA","ribosome",""
"3J3V","ribosomal RNA","ribosome",""
"3J3W","ribosomal RNA","ribosome",""
"3J45","ribosomal RNA","ribosome, SEC channel",""
"3J46","ribosomal RNA, transfer RNA","ribosome, SEC channel, signal recognition particle (SRP)",""
"3J5L","ribosomal RNA","ribosome",""
"3J5S","ribosomal RNA, transfer RNA","hydrolase, ribosome, translation",""
"3J6B","ribosomal RNA, transfer RNA","ribosome",""
"3J6X","ribosomal RNA, IRES element","ribosome",""
"3J6Y","ribosomal RNA, IRES element","ribosome",""
"3J77","ribosomal RNA, transfer RNA","ribosome",""
"3J78","ribosomal RNA, transfer RNA","ribosome",""
"3J79","ribosomal RNA","ribosome",""
"3J7A","ribosomal RNA, transfer RNA","ribosome",""
"3J7O","ribosomal RNA","ribosome",""
"3J7P","ribosomal RNA","ribosome, translation",""
"3J7Q","ribosomal RNA","ribosome, SEC channel",""
"3J7R","ribosomal RNA, transfer RNA","ribosome, SEC channel",""
"3J7Y","ribosomal RNA, transfer RNA","ribosome, translation",""
"3J7Z","ribosomal RNA","ribosome",""
"3J80","ribosomal RNA","ribosome, translation",""
"3J81","ribosomal RNA, transfer RNA","ribosome, translation",""
"3J8G","ribosomal RNA","ribosome",""
"3J92","ribosomal RNA, transfer RNA","ligase, ribosome, translation",""
"3J9M","ribosomal RNA, transfer RNA","ribosome, translation",""
"3J9W","ribosomal RNA, transfer RNA","ribosome",""
"3J9Y","ribosomal RNA, transfer RNA","ribosome, translation",""
"3J9Z","ribosomal RNA, transfer RNA","ribosome, translation",""
"3JA1","ribosomal RNA, transfer RNA","ribosome, translation",""
"3JAG","ribosomal RNA, transfer RNA","ribosome, translation",""
"3JAH","ribosomal RNA, transfer RNA","ribosome, translation",""
"3JAI","ribosomal RNA, transfer RNA","ribosome, translation",""
"3JAJ","ribosomal RNA, SRP RNA, transfer RNA","ribosome, signal recognition particle (SRP)",""
"3JAM","ribosomal RNA","ribosome, translation",""
"3JAN","ribosomal RNA, SRP RNA, transfer RNA","ribosome, signal recognition particle (SRP)",""
"3JAP","ribosomal RNA, transfer RNA","ribosome, translation",""
"3JBN","ribosomal RNA, transfer RNA","ribosome",""
"3JBO","ribosomal RNA, transfer RNA","ribosome",""
"3JBP","ribosomal RNA, transfer RNA","ribosome",""
"3JBU","ribosomal RNA, transfer RNA","ribosome, translation",""
"3JBV","ribosomal RNA, transfer RNA","ribosome, translation",""
"3JCD","ribosomal RNA, transfer RNA","ribosome, translation",""
"3JCE","ribosomal RNA, transfer RNA","ribosome, translation",""
"3JCJ","ribosomal RNA, transfer RNA","ribosome, translation",""
"3JCN","ribosomal RNA, transfer RNA","ribosome, translation",""
"3JCS","ribosomal RNA","ribosome",""
"3JCT","ribosomal RNA","protease, ribosome, translation",""
"3JD5","ribosomal RNA","ribosome",""
"3JQ4","ribosomal RNA","ribosome",""
"3MOJ","ribosomal RNA","hydrolase",""
"3OIJ","ribosomal RNA","methylase, ribosome",""
"3OIN","ribosomal RNA","methylase, ribosome",""
"3OTO","ribosomal RNA","ribosome",""
"3OW2","ribosomal RNA","ribosome",""
"3PIO","ribosomal RNA","ribosome",""
"3PIP","ribosomal RNA","ribosome",""
"3S4P","ribosomal RNA","",""
"3S7C","ribosomal RNA","",""
"3S8U","ribosomal RNA","",""
"3T1H","ribosomal RNA, transfer RNA","ribosome",""
"3T1Y","ribosomal RNA, transfer RNA","ribosome",""
"3TD0","A-form double helix, ribosomal RNA","",""
"3TD1","ribosomal RNA","",""
"3U4M","ribosomal RNA","ribosome",""
"3U56","ribosomal RNA","ribosome",""
"3UMY","ribosomal RNA","ribosome",""
"3WRU","ribosomal RNA","",""
"430D","ribosomal RNA","",""
"480D","ribosomal RNA","",""
"483D","ribosomal RNA","",""
"486D","ribosomal RNA, transfer RNA","",""
"4A2I","ribosomal RNA","hydrolase, ribosome",""
"4ADV","ribosomal RNA","methylase, ribosome",""
"4ADX","ribosomal RNA","ribosome, translation",""
"4AQY","ribosomal RNA, transfer RNA","ribosome",""
"4B3M","ribosomal RNA","ribosome",""
"4B3R","ribosomal RNA","ribosome",""
"4B3S","ribosomal RNA","ribosome",""
"4B3T","ribosomal RNA","ribosome",""
"4BTS","ribosomal RNA","ribosome, translation",""
"4CE4","ribosomal RNA","ribosome, translation",""
"4CSU","ribosomal RNA","hydrolase, ribosome",""
"4CXG","ribosomal RNA, transfer RNA","ribosome, translation",""
"4CXH","ribosomal RNA, transfer RNA","ribosome, translation",""
"4D5L","ribosomal RNA","ribosome",""
"4D5Y","ribosomal RNA","ribosome",""
"4D61","ribosomal RNA, IRES element","ribosome, translation",""
"4D67","ribosomal RNA","ribosome",""
"4DR1","ribosomal RNA","ribosome",""
"4DR2","ribosomal RNA","ribosome",""
"4DR3","ribosomal RNA","ribosome",""
"4DR4","ribosomal RNA, transfer RNA","ribosome",""
"4DR5","ribosomal RNA, transfer RNA","ribosome",""
"4DR6","ribosomal RNA","ribosome",""
"4DR7","ribosomal RNA","ribosome",""
"4DUY","ribosomal RNA","ribosome",""
"4DUZ","ribosomal RNA","ribosome",""
"4DV0","ribosomal RNA","ribosome",""
"4DV1","ribosomal RNA","ribosome",""
"4DV2","ribosomal RNA","ribosome",""
"4DV3","ribosomal RNA","ribosome",""
"4DV4","ribosomal RNA","ribosome",""
"4DV5","ribosomal RNA","ribosome",""
"4DV6","ribosomal RNA","ribosome",""
"4DV7","ribosomal RNA","ribosome",""
"4F8U","ribosomal RNA","",""
"4F8V","ribosomal RNA","",""
"4GKJ","ribosomal RNA, transfer RNA","ribosome",""
"4GKK","ribosomal RNA, transfer RNA","ribosome",""
"4GPW","ribosomal RNA","",""
"4GPX","ribosomal RNA","",""
"4GPY","ribosomal RNA","",""
"4IO9","ribosomal RNA","ribosome",""
"4IOA","ribosomal RNA","ribosome",""
"4IOC","ribosomal RNA","ribosome",""
"4JI0","ribosomal RNA","ribosome",""
"4JI1","ribosomal RNA","ribosome",""
"4JI2","ribosomal RNA","ribosome",""
"4JI3","ribosomal RNA","ribosome",""
"4JI4","ribosomal RNA","ribosome",""
"4JI5","ribosomal RNA","ribosome",""
"4JI6","ribosomal RNA","ribosome",""
"4JI7","ribosomal RNA","ribosome",""
"4JI8","ribosomal RNA","ribosome",""
"4JV5","ribosomal RNA, transfer RNA","ribosome",""
"4JYA","ribosomal RNA, transfer RNA","ribosome",""
"4K0K","ribosomal RNA, transfer RNA","ribosome",""
"4K31","A-form double helix, ribosomal RNA","",""
"4K32","ribosomal RNA","",""
"4KHP","ribosomal RNA","ribosome",""
"4KVB","ribosomal RNA","ribosome",""
"4KZX","ribosomal RNA","ribosome, translation",""
"4KZY","ribosomal RNA","ribosome, translation",""
"4KZZ","ribosomal RNA, transfer RNA","ribosome, translation",""
"4L47","ribosomal RNA, transfer RNA","ribosome",""
"4L71","ribosomal RNA, transfer RNA","ribosome",""
"4LEL","ribosomal RNA, transfer RNA","ribosome",""
"4LF4","ribosomal RNA","ribosome",""
"4LF5","ribosomal RNA","ribosome",""
"4LF6","ribosomal RNA","ribosome",""
"4LF7","ribosomal RNA","ribosome",""
"4LF8","ribosomal RNA","ribosome",""
"4LF9","ribosomal RNA","ribosome",""
"4LFA","ribosomal RNA","ribosome",""
"4LFB","ribosomal RNA","ribosome",""
"4LFC","ribosomal RNA","ribosome",""
"4LFZ","ribosomal RNA, transfer RNA","ribosome",""
"4LGT","ribosomal RNA","isomerase",""
"4LNT","ribosomal RNA, transfer RNA","ribosome",""
"4LSK","ribosomal RNA, transfer RNA","ribosome",""
"4LT8","ribosomal RNA, transfer RNA","ribosome",""
"4NLF","ribosomal RNA","",""
"4NMG","ribosomal RNA","",""
"4NXH","ribosomal RNA","",""
"4NXM","ribosomal RNA","ribosome",""
"4NXN","ribosomal RNA","ribosome",""
"4OX9","ribosomal RNA","methylase, ribosome",""
"4P20","ribosomal RNA","",""
"4P3S","ribosomal RNA","",""
"4P3T","A-form double helix, ribosomal RNA","",""
"4P3U","A-form double helix, ribosomal RNA","",""
"4P43","A-form double helix, ribosomal RNA","",""
"4P6F","ribosomal RNA, transfer RNA","ribosome",""
"4P70","ribosomal RNA, transfer RNA","ribosome",""
"4PDQ","ribosomal RNA","",""
"4QG3","ribosomal RNA","ribosome",""
"4QVI","ribosomal RNA","ribosome",""
"4TUA","ribosomal RNA, transfer RNA","ribosome",""
"4TUB","ribosomal RNA, transfer RNA","ribosome",""
"4TUC","ribosomal RNA, transfer RNA","ribosome",""
"4TUD","ribosomal RNA, transfer RNA","ribosome",""
"4TUE","ribosomal RNA, transfer RNA","ribosome",""
"4U1U","ribosomal RNA","ribosome",""
"4U1V","ribosomal RNA","ribosome",""
"4U20","ribosomal RNA","ribosome",""
"4U24","ribosomal RNA","ribosome",""
"4U25","ribosomal RNA","ribosome",""
"4U26","ribosomal RNA","ribosome",""
"4U27","ribosomal RNA","ribosome",""
"4U3M","ribosomal RNA","ribosome, translation",""
"4U3N","ribosomal RNA","ribosome, translation",""
"4U3U","ribosomal RNA","ribosome, translation",""
"4U4N","ribosomal RNA","ribosome, translation",""
"4U4O","ribosomal RNA","ribosome, translation",""
"4U4Q","ribosomal RNA","ribosome, translation",""
"4U4R","ribosomal RNA","ribosome, translation",""
"4U4U","ribosomal RNA","ribosome, translation",""
"4U4Y","ribosomal RNA","ribosome, translation",""
"4U4Z","ribosomal RNA","ribosome, translation",""
"4U50","ribosomal RNA","ribosome, translation",""
"4U51","ribosomal RNA","ribosome, translation",""
"4U52","ribosomal RNA","ribosome, translation",""
"4U53","ribosomal RNA","ribosome, translation",""
"4U55","ribosomal RNA","ribosome, translation",""
"4U56","ribosomal RNA","ribosome, translation",""
"4U67","ribosomal RNA","ribosome",""
"4U6F","ribosomal RNA","ribosome, translation",""
"4UER","ribosomal RNA","ribosome, translation",""
"4UG0","ribosomal RNA, transfer RNA","ribosome",""
"4UJC","ribosomal RNA, IRES element, transfer RNA","ribosome, translation",""
"4UJD","ribosomal RNA, IRES element, transfer RNA","ribosome, translation",""
"4UJE","ribosomal RNA, transfer RNA","ribosome",""
"4UY8","ribosomal RNA, transfer RNA","ribosome",""
"4V19","ribosomal RNA, transfer RNA","ribosome",""
"4V3P","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V42","ribosomal RNA, transfer RNA","ribosome",""
"4V47","ribosomal RNA","ribosome",""
"4V48","ribosomal RNA, transfer RNA","ribosome",""
"4V49","ribosomal RNA, transfer RNA","ribosome",""
"4V4A","ribosomal RNA","ribosome",""
"4V4B","ribosomal RNA","ribosome, translation",""
"4V4G","ribosomal RNA","ribosome",""
"4V4H","ribosomal RNA","ribosome",""
"4V4I","ribosomal RNA, transfer RNA","ribosome",""
"4V4J","ribosomal RNA, transfer RNA","ribosome",""
"4V4N","ribosomal RNA, transfer RNA","ribosome, SEC channel",""
"4V4P","ribosomal RNA, transfer RNA","ribosome",""
"4V4Q","ribosomal RNA","ribosome",""
"4V4R","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V4S","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V4T","ribosomal RNA, transfer RNA","ribosome",""
"4V4V","ribosomal RNA, transfer RNA","ribosome",""
"4V4W","ribosomal RNA, transfer RNA","ribosome",""
"4V4X","ribosomal RNA, transfer RNA","ribosome",""
"4V4Y","ribosomal RNA, transfer RNA","ribosome",""
"4V4Z","ribosomal RNA, transfer RNA","ribosome",""
"4V50","ribosomal RNA, transfer RNA","ribosome",""
"4V51","ribosomal RNA, transfer RNA","ribosome",""
"4V52","ribosomal RNA","ribosome",""
"4V53","ribosomal RNA","ribosome",""
"4V54","ribosomal RNA","ribosome, translation",""
"4V55","ribosomal RNA","ribosome, translation",""
"4V56","ribosomal RNA","ribosome",""
"4V57","ribosomal RNA","ribosome",""
"4V5A","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V5B","ribosomal RNA","hydrolase, ribosome",""
"4V5C","ribosomal RNA, transfer RNA","ribosome",""
"4V5D","ribosomal RNA, transfer RNA","ribosome",""
"4V5E","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V5F","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V5G","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V5H","ribosomal RNA, transfer RNA","ribosome",""
"4V5J","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V5K","ribosomal RNA, transfer RNA","nuclease, ribosome, toxin/antitoxin, translation",""
"4V5L","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V5M","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V5N","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V5O","ribosomal RNA","ribosome, translation",""
"4V5P","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V5Q","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V5R","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V5S","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V5Y","ribosomal RNA","ribosome, translation",""
"4V5Z","ribosomal RNA, transfer RNA","ribosome",""
"4V61","ribosomal RNA","ribosome",""
"4V63","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V64","ribosomal RNA","ribosome",""
"4V65","ribosomal RNA, transfer RNA","ribosome",""
"4V66","ribosomal RNA, transfer RNA","ribosome",""
"4V67","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V68","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V69","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V6A","ribosomal RNA, transfer RNA","ribosome, translation",""
"4V6C","ribosomal RNA","ribosome",""
